Email,Address,Avg Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent
mstephenson@fernandez.com,"835 Frank TunnelWrightmouth, MI 82180-9605",34.49726773,12.65565115,39.57766802,4.082620633,587.951054
hduke@hotmail.com,"4547 Archer CommonDiazchester, CA 06566-8576",31.92627203,11.10946073,37.26895887,2.664034182,392.2049334
pallen@yahoo.com,"24645 Valerie Unions Suite 582Cobbborough, DC 99414-7564",33.00091476,11.33027806,37.11059744,4.104543202,487.5475049
riverarebecca@gmail.com,"1414 David ThroughwayPort Jason, OH 22070-1220",34.30555663,13.71751367,36.72128268,3.120178783,581.852344
mstephens@davidson-herman.com,"14023 Rodriguez PassagePort Jacobville, PR 37242-1057",33.33067252,12.79518855,37.5366533,4.446308318,599.406092
alvareznancy@lucas.biz,"645 Martha Park Apt. 611Jeffreychester, MN 67218-7250",33.87103788,12.02692534,34.47687763,5.493507201,637.1024479
katherine20@yahoo.com,"68388 Reyes Lights Suite 692Josephbury, WV 92213-0247",32.0215955,11.36634831,36.68377615,4.685017247,521.5721748
awatkins@yahoo.com,Unit 6538 Box 8980DPO AP 09026-4941,32.73914294,12.35195897,37.37335886,4.434273435,549.9041461
vchurch@walter-martinez.com,"860 Lee KeyWest Debra, SD 97450-0495",33.9877729,13.38623528,37.53449734,3.273433578,570.200409
bonnie69@lin.biz,"PSC 2734, Box 5255APO AA 98456-7482",31.93654862,11.81412829,37.14516822,3.202806072,427.1993849
andrew06@peterson.com,"26104 Alexander GrovesAlexandriaport, WY 28244-9149",33.99257277,13.33897545,37.22580613,2.482607771,492.6060127
ryanwerner@freeman.biz,Unit 2413 Box 0347DPO AA 07580-2652,33.87936082,11.584783,37.08792607,3.713209203,522.3374046
knelson@gmail.com,"6705 Miller Orchard Suite 186Lake Shanestad, MO 75696-5051",29.53242897,10.9612984,37.42021558,4.046423164,408.6403511
wrightpeter@yahoo.com,"05302 Dunlap FerryNew Stephaniehaven, MP 42268",33.19033404,12.95922609,36.1446667,3.918541839,573.4158673
